iteration	cost	C	H	alpha	lambda	time
0	0.2080876310600809	5	100	0.01	0.001	249286
1	0.15929161183736587	5	100	0.01	0.001	251131
2	0.13257821969971859	5	100	0.01	0.001	252786
3	0.11428899721552117	5	100	0.01	0.001	250307
4	0.10145643986361291	5	100	0.01	0.001	246365
5	0.0923709348022587	5	100	0.01	0.001	252459
6	0.08556565952150608	5	100	0.01	0.001	253161
7	0.08015956376643564	5	100	0.01	0.001	251231
8	0.07571064313783937	5	100	0.01	0.001	253935
9	0.07193617430887639	5	100	0.01	0.001	253662
10	0.06866041208130383	5	100	0.01	0.001	251831
11	0.06578392778594637	5	100	0.01	0.001	251318
12	0.06321998159071543	5	100	0.01	0.001	254151
13	0.06088906085085134	5	100	0.01	0.001	251391
14	0.05873476290209832	5	100	0.01	0.001	254472
15	0.056736121098211724	5	100	0.01	0.001	251786
16	0.05487281121350889	5	100	0.01	0.001	252911
17	0.05312110121084511	5	100	0.01	0.001	252973
18	0.05146986443153725	5	100	0.01	0.001	258397
19	0.04991586866418673	5	100	0.01	0.001	254365
