iteration	cost	C	H	alpha	lambda	time
0	0.20169463352916425	5	50	0.01	1.0E-4	114820
1	0.13870669107399536	5	50	0.01	1.0E-4	114399
2	0.10518653626484001	5	50	0.01	1.0E-4	116017
3	0.08321976917850744	5	50	0.01	1.0E-4	115095
4	0.06917288947248969	5	50	0.01	1.0E-4	115211
5	0.05947161280594297	5	50	0.01	1.0E-4	113964
6	0.05214652320506692	5	50	0.01	1.0E-4	114872
7	0.0462568902770892	5	50	0.01	1.0E-4	113867
8	0.04140790204787939	5	50	0.01	1.0E-4	115686
9	0.03735339325210067	5	50	0.01	1.0E-4	116549
10	0.033822948860238074	5	50	0.01	1.0E-4	115389
11	0.030827355369181228	5	50	0.01	1.0E-4	115572
12	0.02821892408900214	5	50	0.01	1.0E-4	115651
13	0.025915472112912407	5	50	0.01	1.0E-4	115290
14	0.02392534686332344	5	50	0.01	1.0E-4	116644
15	0.022246684079090896	5	50	0.01	1.0E-4	116048
16	0.02082137725144535	5	50	0.01	1.0E-4	115774
17	0.019612297452137335	5	50	0.01	1.0E-4	115890
18	0.0185539963750559	5	50	0.01	1.0E-4	114594
19	0.01765289052709015	5	50	0.01	1.0E-4	114739
