iteration	cost	C	H	alpha	lambda	time
0	0.19994359707222417	5	100	0.01	1.0E-4	252453
1	0.13595501600296903	5	100	0.01	1.0E-4	254070
2	0.10159172730315495	5	100	0.01	1.0E-4	257228
3	0.08017128311194995	5	100	0.01	1.0E-4	251531
4	0.06641606107988958	5	100	0.01	1.0E-4	256321
5	0.056759115694595096	5	100	0.01	1.0E-4	252437
6	0.049526353690022486	5	100	0.01	1.0E-4	255595
7	0.04372833282479517	5	100	0.01	1.0E-4	254753
8	0.03890542089694272	5	100	0.01	1.0E-4	248562
9	0.03488076962635145	5	100	0.01	1.0E-4	257427
10	0.031562382876188864	5	100	0.01	1.0E-4	255234
11	0.028637366432016788	5	100	0.01	1.0E-4	255091
12	0.02614743769603819	5	100	0.01	1.0E-4	251409
13	0.02405953818009733	5	100	0.01	1.0E-4	256430
14	0.022254407997883363	5	100	0.01	1.0E-4	244254
15	0.020704322542106066	5	100	0.01	1.0E-4	248842
16	0.019463758685355263	5	100	0.01	1.0E-4	242164
17	0.018310814754519275	5	100	0.01	1.0E-4	236745
18	0.017343708554689523	5	100	0.01	1.0E-4	244900
19	0.016762267586827913	5	100	0.01	1.0E-4	241001
