iteration	cost	C	H	alpha	lambda	time
0	0.24530032165030813	5	50	0.01	0.01	114960
1	0.214601433188158	5	50	0.01	0.01	115998
2	0.19622062396511697	5	50	0.01	0.01	115928
3	0.18275914872681404	5	50	0.01	0.01	114318
4	0.1722507073602645	5	50	0.01	0.01	114131
5	0.1637056498932924	5	50	0.01	0.01	109390
6	0.1564959915860669	5	50	0.01	0.01	115021
7	0.15027576197118736	5	50	0.01	0.01	117548
8	0.14483869636700716	5	50	0.01	0.01	117413
9	0.14003535193007743	5	50	0.01	0.01	116312
10	0.135742106992314	5	50	0.01	0.01	113044
11	0.1318741918000619	5	50	0.01	0.01	114578
12	0.12834904000137545	5	50	0.01	0.01	112993
13	0.12511797936042815	5	50	0.01	0.01	118379
14	0.12213391823809842	5	50	0.01	0.01	112708
15	0.11934038628170977	5	50	0.01	0.01	110856
16	0.11670872673551291	5	50	0.01	0.01	110638
17	0.11428842968592809	5	50	0.01	0.01	113696
18	0.11205366287573741	5	50	0.01	0.01	115490
19	0.1099553607677529	5	50	0.01	0.01	115783
