iteration	cost	C	H	alpha	lambda	time
0	0.24494268231830227	5	100	0.01	0.01	275767
1	0.21414757668711865	5	100	0.01	0.01	255478
2	0.19544470419771792	5	100	0.01	0.01	278111
3	0.1818888468101435	5	100	0.01	0.01	270093
4	0.17133618774741746	5	100	0.01	0.01	255123
5	0.16270299452296472	5	100	0.01	0.01	256825
6	0.15540887576991158	5	100	0.01	0.01	257564
7	0.14916670423010922	5	100	0.01	0.01	255591
8	0.14372531693530216	5	100	0.01	0.01	259988
9	0.13887535229368433	5	100	0.01	0.01	252037
10	0.13455154818030204	5	100	0.01	0.01	248200
11	0.13064743010732796	5	100	0.01	0.01	250548
12	0.12709049131600966	5	100	0.01	0.01	252620
13	0.12384608706600454	5	100	0.01	0.01	257380
14	0.12083990798263397	5	100	0.01	0.01	253580
15	0.11808362210242854	5	100	0.01	0.01	256368
16	0.11550784108158414	5	100	0.01	0.01	250176
17	0.11310780712521652	5	100	0.01	0.01	251462
18	0.11086375258052658	5	100	0.01	0.01	250568
19	0.10876265454992629	5	100	0.01	0.01	248567
