iteration	cost	C	H	alpha	lambda	time
0	0.24483845541749794	5	125	0.01	0.01	314394
1	0.2140746384969126	5	125	0.01	0.01	317865
2	0.19536311268297044	5	125	0.01	0.01	312456
3	0.1817665535683111	5	125	0.01	0.01	310953
4	0.17117013595746805	5	125	0.01	0.01	315866
5	0.1625532712458005	5	125	0.01	0.01	318950
6	0.1552761482916379	5	125	0.01	0.01	316504
7	0.1490422613853272	5	125	0.01	0.01	319919
8	0.14356325238228534	5	125	0.01	0.01	319412
9	0.13871426021064717	5	125	0.01	0.01	322606
10	0.13437801593448576	5	125	0.01	0.01	316479
11	0.13047737296807443	5	125	0.01	0.01	318575
12	0.12692196959585308	5	125	0.01	0.01	321082
13	0.12365484055158953	5	125	0.01	0.01	324244
14	0.12067221244171986	5	125	0.01	0.01	321795
15	0.11788606792455744	5	125	0.01	0.01	323816
16	0.1153223259202907	5	125	0.01	0.01	323455
17	0.11291811078132749	5	125	0.01	0.01	324141
18	0.11066628360976785	5	125	0.01	0.01	319418
19	0.10857252884329698	5	125	0.01	0.01	320265
